ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
bnn0	Previously , Mr. Vitulli , 43 years old , was general marketing manager of Chrysler Corp. 's Chrysler division . He had been a sales and marketing executive with Chrysler for 20 years .	He	113	Vitulli	17	TRUE	Chrysler Corp.	75	FALSE	unk
bnn1	Mr. Rowe also noted that political concerns also worried New England Electric . it was just another one of the risk factors '' that led to the company 's decision to withdraw from the bidding , he added .	he	194	Rowe	4	TRUE	New England Electric	57	FALSE	unk
bnn2	Mr. Rowe also noted that political concerns also worried New England Electric . No matter who owns PS of New Hampshire , after it emerges from bankruptcy proceedings its rates will be among the highest in the nation , he said .	he	218	Rowe	4	TRUE	No	80	FALSE	unk
bnn3	The fact that New England proposed lower rate increases -- 4.8 % over seven years against around 5.5 % boosts proposed by the other two outside bidders -- complicated negotiations with state officials , Mr. Ross asserted . `` Now the field is less cluttered , '' he added .	he	263	New England	14	FALSE	Ross	207	TRUE	unk
bnn4	Judge Curry ordered the refunds to begin Feb. 1 and said that he would n't entertain any appeals or other attempts to block his order by Commonwealth Edison .	his	124	Curry	6	TRUE	Feb.	41	FALSE	unk
bnn5	Judge Curry ordered the refunds to begin Feb. 1 and said that he would n't entertain any appeals or other attempts to block his order by Commonwealth Edison .	he	62	Curry	6	TRUE	Feb.	41	FALSE	unk
bnn6	Documents filed with the Securities and Exchange Commission on the pending spinoff disclosed that Cray Research Inc. will withdraw the almost $ 100 million in financing it is providing the new firm if Mr. Cray leaves or if the product-design project he heads is scrapped .	he	250	Exchange Commission	40	FALSE	Cray	205	TRUE	unk
bnn7	`` The theory is that Seymour is the chief designer of the Cray-3 , and without him it could not be completed .	him	80	Seymour	22	TRUE	Cray-3	59	FALSE	unk
bnn8	Mr. Cray , who could n't be reached for comment , will work for the new Colorado Springs , Colo. , company as an independent contractor -- the arrangement he had with Cray Research .	he	155	Cray	4	TRUE	Colorado Springs	72	FALSE	unk
bnn9	Mrs. Hills lauded South Korea for creating an intellectual-property task force and special enforcement teams of police officers and prosecutors trained to pursue movie and book pirates . Seoul also has instituted effective search-and-seizure procedures to aid these teams , she said .	she	274	Hills	5	TRUE	South Korea	18	FALSE	unk
bnn10	Mrs. Hills said that the U.S. is still concerned about `` disturbing developments in Turkey and continuing slow progress in Malaysia . '' She did n't elaborate , although earlier U.S. trade reports have complained of videocassette piracy in Malaysia and disregard for U.S. pharmaceutical patents in Turkey .	She	138	Hills	5	TRUE	U.S.	25	FALSE	unk
bnn11	`` Argentina aspires to reach a reduction of 50 % in the value of its external debt , '' Mr. Rapanelli said through his spokesman , Miguel Alurralde .	his	116	Argentina	3	FALSE	Rapanelli	93	TRUE	unk
bnn12	Mr. Rapanelli recently has said the government of President Carlos Menem , who took office July 8 , feels a significant reduction of principal and interest is the only way the debt problem may be solved . But he has not said before that the country wants half the debt forgiven .	he	209	Rapanelli	4	TRUE	President Carlos Menem	50	FALSE	unk
bnn13	Magna said Mr. McAlpine resigned to pursue a consulting career , with Magna as one of his clients .	his	86	Magna	0	FALSE	McAlpine	15	TRUE	unk
bnn14	The 40-year-old Mr. Murakami is a publishing sensation in Japan . But he is just one of several youthful writers -- Tokyo 's brat pack -- who are dominating the best-seller charts in Japan .	he	70	Murakami	20	TRUE	Tokyo	116	FALSE	unk
bnn15	In sometimes amusing , more often supercilious , even vicious passages , Mr. Katzenstein describes how Sony invades even the most mundane aspects of its workers ' lives -- at the regimented office , where employees are assigned lunch partners -- and at `` home '' in the austere company dormitory run by a prying caretaker . Some of his observations about Japanese management style are on the mark .	his	333	Katzenstein	77	TRUE	Sony	103	FALSE	unk
bnn16	But Sony ultimately took a lesson from the American management books and fired Mr. Katzenstein , after he committed the social crime of making an appointment to see the venerable Akio Morita , founder of Sony .	he	103	Sony	4	FALSE	Katzenstein	83	TRUE	unk
