ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
development-1	Zoe Telford -- played the police officer girlfriend of Simon, Maggie. Dumped by Simon in the final episode of series 1, after he slept with Jenny, and is not seen again. Phoebe Thomas played E1, E2's friend and also a year 11 pupil in Simon's class. Dumped his boyfriend following Simon's advice after he wouldn't have sex with her but later realised this was due to him catching crabs off her friend Pauline.	his	257	E1	191	TRUE	E2	195	FALSE	http://en.wikipedia.org/wiki/List_of_Teachers_(UK_TV_series)_characters
development-2	He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. E1 studied with E2 from 1949 to 1952. Her simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai.	Her	266	E1	228	TRUE	E2	244	FALSE	http://en.wikipedia.org/wiki/Warren_MacKenzie
development-3	He had been reelected to Congress, but resigned in 1990 to accept a post as Ambassador to Brazil. De la Sota again ran for governor of C*rdoba in 1991. Defeated by Governor E1 by over 15%, this latter setback was significant because it cost E2 much of her support within the Justicialist Party (which was flush with victory in the 1991 mid-terms), leading to President Carlos Menem 's endorsement of a separate party list in C*rdoba for the 1993 mid-term elections, and to De la Sota's failure to regain a seat in Congress.	her	252	E1	173	FALSE	E2	241	TRUE	http://en.wikipedia.org/wiki/Jos%C3%A9_Manuel_de_la_Sota
development-4	The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of E1, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under her real name, E2) including the hit The Devil and Daniel Johnston.	her	319	E1	174	FALSE	E2	334	TRUE	http://en.wikipedia.org/wiki/Crime_(band)
development-5	Her Santa Fe Opera debut in 2005 was as Nuria in the revised edition of Golijov's Ainadamar. She sang on the subsequent Deutsche Grammophon recording of the opera. For his opera Doctor Atomic, Adams rewrote the role of E1, originally a mezzo-soprano role, for soprano voice, and E2 sang the rewritten part of Kitty Oppenheimer at Lyric Opera of Chicago, De Nederlandse Opera, and the Metropolitan Opera., all in 2007. He has since sung several parts and roles in John Adams' works, including the soprano part in El Ni*o, and the role of Kumudha in A Flowering Tree in the Peter Sellars production at the New Crowned Hope Festival in Vienna.	He	418	E1	219	FALSE	E2	279	TRUE	http://en.wikipedia.org/wiki/Jessica_Rivera
development-6	Sandra Collins is an American DJ. She got her start on the West Coast of the U.S. in Phoenix, Arizona and into residencies in Los Angeles, and eventually moved towards trance. She used American producers to give herself a unique sound. E1 performed for an estimated 80,000 people on the first night of Woodstock '99, and was the first female E2 featured in the Tranceport series of influential recordings. He recently has released two CD mixes under Paul Oakenfold's Perfecto label.	He	406	E1	236	TRUE	E2	342	FALSE	http://en.wikipedia.org/wiki/Sandra_Collins
development-7	Reb Chaim Yaakov's wife is the sister of Rabbi Moishe Sternbuch, as is the wife of Rabbi Meshulam Dovid Soloveitchik, making the two Rabbis his uncles. E1's brother Rabbi Shlomo Arieli is the author of a critical edition of the novallae of Rabbi E2. Before her marriage, Rabbi Arieli studied in the Ponevezh Yeshiva headed by Rabbi Shmuel Rozovsky, and he later studied under his father-in-law in the Mirrer Yeshiva.	her	257	E1	152	FALSE	E2	246	FALSE	http://en.wikipedia.org/wiki/Asher_Arieli
development-8	Slant Magazine's Sal Cinquemani viewed the album as formulaic and ``competently, often frustratingly more of the same from an artist who still seems capable of much more.'' E1 of the Chicago Tribune perceived ``formula production and hack songwriting'', but complimented Pink's personality and its ``handful'' of worthy tracks. In her list for The Barnes & Noble Review, E2 named The Truth About Love the fourth best album of 2012.	her	331	E1	173	FALSE	E2	371	TRUE	http://en.wikipedia.org/wiki/The_Truth_About_Love_(Pink_album)
development-9	Her father was an Englishman ``of rank and culture'' and her mother was a free woman of color, described as light-skinned. When Mary was six, her mother sent her to Alexandria (then part of the District of Columbia) to attend school. Living with his aunt E1, E2 studied for about ten years.	his	246	E1	255	FALSE	E2	259	TRUE	http://en.wikipedia.org/wiki/Mary_S._Peake
development-10	Shaftesbury's UK partners in the production of the series, British broadcaster UKTV and the international distributor ITV Studios Global Entertainment, were both interested in additional seasons. E1 approached E2, executive vice-president of CBC's English services, about continuing the series, and he felt that ``a home at CBC made absolute sense''.	he	299	E1	196	TRUE	E2	210	FALSE	http://en.wikipedia.org/wiki/Murdoch_Mysteries
development-11	William Shatner portraying writer Mark Twain; a special Christmas episode which included appearances by Ed Asner, Brendan Coyle, Kelly Rowan and television news anchor E1; an episode which featured E2, the Lieutenant Governor of Ontario at the time of production, appearing as her own forerunner Oliver Mowat; and two different episodes in which former Dragons' Den investors Arlene Dickinson and David Chilton guest starred.	her	277	E1	168	FALSE	E2	198	TRUE	http://en.wikipedia.org/wiki/Murdoch_Mysteries
development-12	His maternal great-grandfather was Henry Percy, 4th Earl of Northumberland, whose wife was Maud Herbert, Countess of Northumberland. His maternal grandmother was a daughter of Sir Robert Spencer and Eleanor Beaufort. E1 was a daughter of Edmund Beaufort, 2nd Duke of Somerset and E2. He was a granddaughter of Richard de Beauchamp, 13th Earl of Warwick and Elizabeth Berkeley.	He	284	E1	217	TRUE	E2	280	FALSE	http://en.wikipedia.org/wiki/Henry_Clifford,_2nd_Earl_of_Cumberland
development-13	Killian in 1978--79, an assistant district attorney for Brunswick Judicial Circuit in 1979--80, and a practicing attorney in Glynn County in 1980--90. Williams was elected a Superior Court judge in 1990, taking the bench in 1991. In November 2010 E1 competed against E2 in his most recent bid for re-election.	his	273	E1	247	TRUE	E2	267	FALSE	http://en.wikipedia.org/wiki/Amanda_Williams
