ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
bnn0	Previously , Mr. Vitulli , 43 years old , was general marketing manager of Chrysler Corp. 's Chrysler division . He had been a sales and marketing executive with Chrysler for 20 years .	He	113	Vitulli	17	TRUE	Chrysler Corp.	75	FALSE	unk
bnn1	Mr. Rowe also noted that political concerns also worried New England Electric . it was just another one of the risk factors '' that led to the company 's decision to withdraw from the bidding , he added .	he	194	Rowe	4	TRUE	New England Electric	57	FALSE	unk
bnn2	Mr. Rowe also noted that political concerns also worried New England Electric . No matter who owns PS of New Hampshire , after it emerges from bankruptcy proceedings its rates will be among the highest in the nation , he said .	he	218	Mr. Rowe	0	FALSE	Rowe	4	TRUE	unk
bnn3	The fact that New England proposed lower rate increases -- 4.8 % over seven years against around 5.5 % boosts proposed by the other two outside bidders -- complicated negotiations with state officials , Mr. Ross asserted . `` Now the field is less cluttered , '' he added .	he	263	Mr. Ross	203	FALSE	Ross	207	TRUE	unk
bnn4	Judge Curry ordered the refunds to begin Feb. 1 and said that he would n't entertain any appeals or other attempts to block his order by Commonwealth Edison .	his	124	Judge Curry	0	FALSE	Curry	6	TRUE	unk
bnn5	Judge Curry ordered the refunds to begin Feb. 1 and said that he would n't entertain any appeals or other attempts to block his order by Commonwealth Edison .	he	62	Curry	6	TRUE	Commonwealth Edison	137	FALSE	unk
bnn6	In his ruling , Judge Curry added an additional $ 55 million to the commission 's calculations .	his	3	Judge Curry	16	FALSE	Curry	22	TRUE	unk
bnn7	Documents filed with the Securities and Exchange Commission on the pending spinoff disclosed that Cray Research Inc. will withdraw the almost $ 100 million in financing it is providing the new firm if Mr. Cray leaves or if the product-design project he heads is scrapped .	he	250	Exchange Commission	40	FALSE	Cray	205	TRUE	unk
bnn8	`` The theory is that Seymour is the chief designer of the Cray-3 , and without him it could not be completed .	him	80	Seymour	22	TRUE	Cray-3	59	FALSE	unk
bnn9	Mr. Cray , who could n't be reached for comment , will work for the new Colorado Springs , Colo. , company as an independent contractor -- the arrangement he had with Cray Research .	he	155	Cray	4	TRUE	Colorado Springs	72	FALSE	unk
bnn10	Regarded as the father of the supercomputer , Mr. Cray was paid $ 600,000 at Cray Research last year . At Cray Computer , he will be paid $ 240,000 .	he	122	Cray	50	TRUE	Cray Computer	106	FALSE	unk
bnn11	Mrs. Hills said many of the 25 countries that she placed under varying degrees of scrutiny have made `` genuine progress '' on this touchy issue . She said there is `` growing realization '' around the world that denial of intellectual-property rights harms all trading nations , and particularly the `` creativity and inventiveness of an -LCB- offending -RCB- country 's own citizens . ''	She	147	Mrs. Hills	0	FALSE	Hills	5	TRUE	unk
bnn12	Mrs. Hills said many of the 25 countries that she placed under varying degrees of scrutiny have made `` genuine progress '' on this touchy issue .	she	46	Mrs. Hills	0	FALSE	Hills	5	TRUE	unk
bnn13	Mrs. Hills lauded South Korea for creating an intellectual-property task force and special enforcement teams of police officers and prosecutors trained to pursue movie and book pirates . Seoul also has instituted effective search-and-seizure procedures to aid these teams , she said .	she	274	Hills	5	TRUE	Seoul	187	FALSE	unk
bnn14	Mrs. Hills said that the U.S. is still concerned about `` disturbing developments in Turkey and continuing slow progress in Malaysia . '' She did n't elaborate , although earlier U.S. trade reports have complained of videocassette piracy in Malaysia and disregard for U.S. pharmaceutical patents in Turkey .	She	138	Hills	5	TRUE	Malaysia	124	FALSE	unk
bnn15	`` Argentina aspires to reach a reduction of 50 % in the value of its external debt , '' Mr. Rapanelli said through his spokesman , Miguel Alurralde .	his	116	Rapanelli	93	TRUE	Miguel Alurralde	132	FALSE	unk
bnn16	Mr. Rapanelli recently has said the government of President Carlos Menem , who took office July 8 , feels a significant reduction of principal and interest is the only way the debt problem may be solved . But he has not said before that the country wants half the debt forgiven .	he	209	Mr. Rapanelli	0	FALSE	Rapanelli	4	TRUE	unk
bnn17	Analysts said Mr. Stronach wants to resume a more influential role in running the company . They expect him to cut costs throughout the organization .	him	104	Mr. Stronach	14	FALSE	Stronach	18	TRUE	unk
