Text	Pronoun	Pronoun-offset	A	A-offset
`` The morbidity rate is a striking finding among those of us who study asbestos-related diseases , '' said Dr. Talcott . The percentage of lung cancer deaths among the workers at the West Groton , Mass. , paper factory appears to be the highest for any asbestos workers studied in Western industrialized countries , he said .	he	34	Talcott	21
J.P. Bolduc , vice chairman of W.R. Grace & Co. , which holds a 83.4 % interest in this energy-services company , was elected a director . He succeeds Terrence D. Daniels , formerly a W.R. Grace vice chairman , who resigned .	He	1	J.P. Bolduc	1
Clark J. Vitulli was named senior vice president and general manager of this U.S. sales and marketing arm of Japanese auto maker Mazda Motor Corp . In the new position he will oversee Mazda 's U.S. sales , service , parts and marketing operations .	he	5	Clark J. Vitulli	1
Previously , Mr. Vitulli , 43 years old , was general marketing manager of Chrysler Corp. 's Chrysler division . He had been a sales and marketing executive with Chrysler for 20 years .	He	1	Vitulli	4
John Rowe , president and chief executive officer of New England Electric , said the company 's return on equity could suffer if it made a higher bid and its forecasts related to PS of New Hampshire -- such as growth in electricity demand and improved operating efficiencies -- did n't come true . That got hard to take , '' he added .	he	8	John Rowe	1
Mr. Rowe also noted that political concerns also worried New England Electric . it was just another one of the risk factors '' that led to the company 's decision to withdraw from the bidding , he added .	he	24	Rowe	2
Mr. Rowe also noted that political concerns also worried New England Electric . No matter who owns PS of New Hampshire , after it emerges from bankruptcy proceedings its rates will be among the highest in the nation , he said .	he	27	Rowe	2
The fact that New England proposed lower rate increases -- 4.8 % over seven years against around 5.5 % boosts proposed by the other two outside bidders -- complicated negotiations with state officials , Mr. Ross asserted . `` Now the field is less cluttered , '' he added .	he	10	Ross	36
Judge Curry ordered the refunds to begin Feb. 1 and said that he would n't entertain any appeals or other attempts to block his order by Commonwealth Edison .	his	24	Curry	2
Judge Curry ordered the refunds to begin Feb. 1 and said that he would n't entertain any appeals or other attempts to block his order by Commonwealth Edison .	he	13	Curry	2
In his ruling , Judge Curry added an additional $ 55 million to the commission 's calculations .	his	2	Curry	6
Documents filed with the Securities and Exchange Commission on the pending spinoff disclosed that Cray Research Inc. will withdraw the almost $ 100 million in financing it is providing the new firm if Mr. Cray leaves or if the product-design project he heads is scrapped .	he	42	Cray	35
`` The theory is that Seymour is the chief designer of the Cray-3 , and without him it could not be completed .	him	17	Seymour	6
`` It has to be considered as an additional risk for the investor , '' said Gary P. Smaby of Smaby Group Inc. , Minneapolis . `` Cray Computer will be a concept stock , '' he said .	he	11	Gary P. Smaby	17
Mr. Cray , who could n't be reached for comment , will work for the new Colorado Springs , Colo. , company as an independent contractor -- the arrangement he had with Cray Research .	he	30	Cray	2
Regarded as the father of the supercomputer , Mr. Cray was paid $ 600,000 at Cray Research last year . At Cray Computer , he will be paid $ 240,000 .	he	5	Cray	10
John R. Stevens , 49 years old , was named senior executive vice president and chief operating officer , both new positions . He will continue to report to Donald Pardus , president and chief executive officer .	He	1	John R. Stevens	1
Arthur A. Hatch , 59 , was named executive vice president of the company . He was previously president of the company 's Eastern Edison Co. unit .	He	1	Arthur A. Hatch	1
John D. Carney , 45 , was named to succeed Mr. Hatch as president of Eastern Edison . Previously he was vice president of Eastern Edison .	he	2	John D. Carney	1
Robert P. Tassinari , 63 , was named senior vice president of Eastern Utilities . He was previously vice president .	He	1	Robert P. Tassinari	1
Mrs. Hills said many of the 25 countries that she placed under varying degrees of scrutiny have made `` genuine progress '' on this touchy issue . She said there is `` growing realization '' around the world that denial of intellectual-property rights harms all trading nations , and particularly the `` creativity and inventiveness of an -LCB- offending -RCB- country 's own citizens . ''	She	1	Hills	2
Mrs. Hills said many of the 25 countries that she placed under varying degrees of scrutiny have made `` genuine progress '' on this touchy issue .	she	10	Hills	2
Mrs. Hills lauded South Korea for creating an intellectual-property task force and special enforcement teams of police officers and prosecutors trained to pursue movie and book pirates . Seoul also has instituted effective search-and-seizure procedures to aid these teams , she said .	she	13	Hills	2
